# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2 
0.96 3.2798469278284884e-06 0.9127750269130176 0.9127750269130176 0.0 0.0 -0.20274736083177175 -0.20274736083177175 0.4999999999995753 0.4999999999995753 0.49999999999999994 0.49999999999999994
0.97 3.2762617776069034e-06 0.9110728552575494 0.9110728552575494 0.0 0.0 -0.20255833385315417 -0.20255833385315417 0.4999999999995814 0.4999999999995814 0.4999999999999999 0.4999999999999999
0.98 3.2726284287001096e-06 0.9093529716912467 0.909352971691247 0.0 0.0 -0.2023672154126315 -0.2023672154126315 0.499999999999582 0.499999999999582 0.4999999999999996 0.4999999999999997
0.99 3.2689468195312708e-06 0.9076151806276321 0.9076151806276321 0.0 0.0 -0.20217392759917702 -0.20217392759917702 0.4999999999995826 0.4999999999995826 0.5 0.4999999999999999
1.0 3.265216996852173e-06 0.9058593191339718 0.905859319133972 0.0 0.0 -0.20197844330183234 -0.20197844330183234 0.49999999999958367 0.49999999999958367 0.49999999999999994 0.5
1.01 3.2614390425840243e-06 0.9040852212392425 0.9040852212392425 0.0 0.0 -0.20178073754804904 -0.201780737548049 0.4999999999995852 0.4999999999995852 0.49999999999999994 0.5
1.02 3.2576130715346587e-06 0.9022927158127135 0.9022927158127133 0.0 0.0 -0.20158078476976 -0.20158078476976 0.49999999999958716 0.49999999999958716 0.49999999999999994 0.5
1.03 3.2537372028004575e-06 0.9004806757443301 0.9004806757443301 0.0 0.0 -0.2013774315061139 -0.2013774315061139 0.49999999999962835 0.49999999999962835 0.49999999999999983 0.49999999999999967
1.04 3.2498154994355827e-06 0.8986507352217639 0.8986507352217639 0.0 0.0 -0.20117282704212625 -0.20117282704212625 0.4999999999996364 0.4999999999996364 0.4999999999999996 0.4999999999999997
1.05 3.245846440145736e-06 0.8968018864072839 0.8968018864072839 0.0 0.0 -0.20096594905977058 -0.20096594905977058 0.49999999999964023 0.49999999999964023 0.4999999999999998 0.49999999999999994
1.06 3.2418301992151015e-06 0.8949338919186226 0.8949338919186226 0.0 0.0 -0.20075671638946502 -0.20075671638946502 0.49999999999964434 0.49999999999964434 0.49999999999999967 0.4999999999999997
1.07 3.237767084779906e-06 0.8930465501986655 0.8930465501986655 0.0 0.0 -0.20054509661460845 -0.20054509661460845 0.4999999999996491 0.4999999999996491 0.49999999999999994 0.49999999999999994
1.08 3.2336574579367365e-06 0.8911396559768933 0.8911396559768933 0.0 0.0 -0.20033105907148652 -0.20033105907148652 0.4999999999996545 0.4999999999996545 0.49999999999999967 0.4999999999999997
1.09 3.2295017300886067e-06 0.889212998005615 0.889212998005615 0.0 0.0 -0.20011457233685095 -0.20011457233685098 0.49999999999966066 0.49999999999966066 0.5 0.49999999999999994
1.1 3.22529800301204e-06 0.8872652615485068 0.8872652615485068 0.0 0.0 -0.19989446154547313 -0.19989446154547313 0.499999999999699 0.499999999999699 0.4999999999999996 0.49999999999999967
1.11 3.221051322217865e-06 0.88529832173083 0.88529832173083 0.0 0.0 -0.19967290133266705 -0.19967290133266705 0.49999999999971 0.49999999999971 0.4999999999999998 0.49999999999999994
1.12 3.2167602222119863e-06 0.8833109962938722 0.8833109962938722 0.0 0.0 -0.19944884517967698 -0.19944884517967695 0.49999999999971806 0.49999999999971806 0.5000000000000001 0.5
1.1300000000000001 3.2124252477271813e-06 0.8813029992709669 0.8813029992709669 0.0 0.0 -0.19922220688018774 -0.19922220688018774 0.4999999999997269 0.4999999999997269 0.49999999999999994 0.4999999999999999
1.1400000000000001 3.208047111938848e-06 0.8792740840362558 0.8792740840362558 0.0 0.0 -0.19899294752732444 -0.1989929475273244 0.4999999999997365 0.4999999999997365 0.49999999999999967 0.4999999999999998
1.1500000000000001 3.203626607784005e-06 0.8772239992643185 0.8772239992643185 0.0 0.0 -0.19876102959464043 -0.19876102959464043 0.4999999999997472 0.4999999999997472 0.4999999999999998 0.5
1.16 3.199161969659634e-06 0.875151259794953 0.8751512597949528 0.0 0.0 -0.19852526738059897 -0.19852526738059897 0.49999999999978173 0.49999999999978173 0.49999999999999967 0.4999999999999997
1.17 3.194659205952722e-06 0.8730579486761045 0.8730579486761045 0.0 0.0 -0.1982878397705815 -0.1982878397705815 0.49999999999979594 0.49999999999979594 0.4999999999999998 0.4999999999999999
