# U m1 m2 mu_new d_1 d_2 d_inter Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down 
1.0 0.6450289438151761 0.6450289438151127 -0.0010985044775151317 0.12514159182849258 0.12514159182848364 0.9758785382677952 0.9605311100100606 0.9605099357518914 0.9605311100098886 0.9605099357517851 0.44317525582870126 0.443175255828694 -0.4431694509735306 -0.4431694509734687 -0.1726619214444919 -0.17266382703103503 -0.17266192144449374 -0.17266382703103997 0.7477119226354688 -0.7476798485557479 0.747711922635232 -0.7476798485555493 0.17748267460456804 0.8225116184197441 0.17748267460459966 0.8225116184197123 0.1775227694002397 0.8224765365414657 0.17752276940023182 0.8224765365414584
1.1 0.6966839141842653 0.6966839141839394 -0.0020116205875877493 0.11116099773369977 0.11116099773370736 0.980086551288156 0.9611908867166548 0.9611705652717173 0.9611908867159142 0.9611705652709408 0.503263325848277 0.5032633258479144 -0.5032452765988169 -0.5032452765985114 -0.1639023852495258 -0.163904119596382 -0.16390238524954798 -0.16390411959640788 0.8701612612528975 -0.8701201243494789 0.8701612612515054 -0.8701201243480898 0.15165518942002335 0.8483391036042887 0.15165518942018627 0.8483391036041257 0.15170396876087006 0.8482942877554605 0.15170396876089554 0.8482942877554418
1.2000000000000002 0.7399384032955502 0.7399384032956161 -0.0028790808921560604 0.0986425619460767 0.09864256194609398 0.98372245744863 0.9625514195852757 0.9625323732571618 0.9625514195856116 0.9625323732573485 0.5645265725461213 0.5645265725460498 -0.5644934377129204 -0.56449343771305 -0.15523646952524814 -0.155238007346423 -0.1552364695252393 -0.15523800734642113 0.9962369228721469 -0.9961843802482135 0.9962369228725676 -0.9961843802486017 0.13002794486438093 0.8699663481599311 0.13002794486434796 0.8699663481599641 0.13007534707107898 0.86992205659849 0.1300753470710988 0.8699220565984936
1.3 0.7759592306351336 0.7759592306350198 -0.0037237132939753875 0.08759452394595509 0.08759452394595087 0.9867619223153979 0.9644253528333382 0.9644077273504156 0.9644253528328615 0.9644077273499044 0.6268073364468074 0.6268073364466805 -0.6267562672008575 -0.626756267200773 -0.1468707654658376 -0.1468721087407632 -0.14687076546584898 -0.14687210874077491 1.1251783472327792 -1.125111715701135 1.1251783472319223 -1.1251117157002628 0.1120175311945892 0.8879767618297228 0.11201753119464619 0.887976761829666 0.11206797092478726 0.8879287672820781 0.11206797092478188 0.8879287672820884
1.4000000000000001 0.8058807382493591 0.8058807382494423 -0.004534103841663452 0.07793536115168384 0.07793536115168083 0.9892488355693078 0.9665519058674309 0.9665357044677021 0.9665519058677288 0.9665357044679499 0.6899042950108443 0.6899042950110837 -0.6898323026882565 -0.6898323026884752 -0.13894124547833564 -0.13894241107824654 -0.13894124547832884 -0.1389424110782318 1.256120511406 -1.256036814461232 1.2561205114067429 -1.2560368144618688 0.0970567773874765 0.9029375156368357 0.09705677738743487 0.9029375156368772 0.09710725698003525 0.9028889704525215 0.09710725698002559 0.9028889704525365
1.5 0.8307547468791073 0.8307547468787064 -0.005310252535228273 0.06953830190675309 0.0695383019067495 0.9912565325996507 0.9687794229667693 0.9687645524433969 0.968779422964659 0.9687645524411009 0.7535962513228037 0.7535962513218611 -0.753500178690093 -0.7535001786894571 -0.13151956665603806 -0.1315205774488001 -0.1315195666560893 -0.13152057744886064 1.3883700601747593 -1.3882660273012812 1.3883700601701334 -1.38826602729662 0.08461977307260236 0.9153745199517097 0.08461977307280279 0.9153745199515092 0.08466914715556467 0.9153266920338474 0.08466914715556545 0.9153266920338643
1.6 0.8514983618386849 0.8514983618392107 -0.006057866350352189 0.062257935170392575 0.062257935170414905 0.9928655126058528 0.9710295878545979 0.9710158933371144 0.9710295878580695 0.9710158933406701 0.8176858410908086 0.8176858410920076 -0.8175623421806512 -0.817562342181692 -0.1246307520247535 -0.12463163187303329 -0.12463075202467304 -0.12463163187294812 1.5214193148432398 -1.5212913801278718 1.5214193148508723 -1.5212913801355108 0.0742479655928136 0.9257463274314984 0.07424796559255066 0.9257463274317613 0.07429810818930643 0.92569743742415 0.07429810818932842 0.9256974374241209
1.7000000000000002 0.868876749316306 0.8688767493150922 -0.006788359238408591 0.05594612125362687 0.055946121253501575 0.994151749426974 0.9732048248322966 0.9731921545685398 0.9732048248217549 0.9731921545581346 0.8820415365766885 0.8820415365747392 -0.8818870053990641 -0.881887005396904 -0.11826974270072936 -0.11827051368125256 -0.11826974270093868 -0.11827051368145826 1.6548322984234933 -1.6546766400624622 1.6548322984009032 -1.6546766400399422 0.06555877185400306 0.934435521170309 0.06555877185460997 0.9344355211697022 0.06560869061651925 0.9343866311159651 0.0656086906163671 0.9343866311161076
1.8 0.8835155768601519 0.8835155768586606 -0.007496024223713342 0.05046794948919923 0.05046794948902286 0.9951800109894204 0.9752794995194233 0.9752676885066959 0.9752794995042409 0.9752676884915347 0.9465175694941576 0.9465175694915924 -0.9463281829253576 -0.946328182922849 -0.1124132186112508 -0.11241390021704828 -0.11241321861152861 -0.112413900217331 1.7883059053279813 -1.7881184333618336 1.7883059052939803 -1.7881184333279385 0.058239358082080084 0.941754934942232 0.05823935808282581 0.9417549349414863 0.05828943132465836 0.9417057192895044 0.05828943132444153 0.9417057192897202
1.9000000000000001 0.895922923685329 0.8959229236865385 -0.008186568281957336 0.04570119920159475 0.04570119920171648 0.996004212952701 0.9772284278554051 0.9772173216580776 0.9772284278687466 0.9772173216714397 1.0110395826628251 1.011039582665791 -1.0108112699711915 -1.0108112699743301 -0.10702717757737007 -0.1070277865405074 -0.10702717757711307 -0.10702778654026174 1.9216409707854007 -1.92141734203632 1.9216409708176054 -1.9214173420687375 0.052035684669491544 0.9479586083548206 0.05203568466888678 0.9479586083554252 0.052085843485251526 0.9479091751955986 0.05208584348539469 0.947909175195454
