# U m1 m2 mu_new Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down
1.0 0.5050042525551984 0.5050042525553441 -0.005395090074276382 0.9370710033076785 0.9370434365058588 0.9370710033077567 0.9370434365059368 0.31191337688480636 0.3119133768849334 -0.3119455556292184 -0.3119455556293499 -0.18747104978416312 -0.18747381014205464 -0.1874710497841572 -0.18747381014204953 0.49209001736478253 -0.49207128801371586 0.4920900173650266 -0.4920712880139621 0.24749502023455683 0.7524992727897553 0.24749502023448403 0.7524992727898281 0.24752655230540777 0.752478442085907 0.2475265523053617 0.7524784420859534
1.1 0.5662401370195421 0.5662401370197006 -0.006502243357737976 0.9345867793223954 0.9345578274611419 0.9345867793226535 0.9345578274613574 0.3586956271748725 0.3586956271749227 -0.3587218908263732 -0.35872189082645956 -0.18084859153937954 -0.18085139538387549 -0.180848591539374 -0.18085139538386832 0.5828896973990904 -0.5828668662882412 0.58288969739947 -0.5828668662886022 0.216877078002385 0.7831172150219271 0.21687707800230574 0.7831172150220063 0.21691995517757723 0.7830835098378579 0.2169199551775779 0.7830835098378707
1.2000000000000002 0.6217945589133789 0.6217945589131719 -0.007615103616886711 0.9336242894785832 0.93359521457513 0.9336242894783183 0.933595214574892 0.4076837471711302 0.40768374717093414 -0.40770080288817717 -0.4077008028879477 -0.17363885325411327 -0.17364155915353657 -0.17363885325412598 -0.17364155915354768 0.6803388650319077 -0.6803106412760445 0.6803388650313491 -0.6803106412754893 0.1890998670554666 0.8108944259688454 0.18909986705557005 0.810894425968742 0.18915145173326342 0.8108504482016086 0.1891514517333021 0.8108504482015624
1.3 0.6712497653781044 0.671249765378017 -0.00864806621640651 0.9339634162135712 0.933935261913584 0.9339634162134237 0.9339352619134703 0.45905614773362363 0.45905614773352127 -0.4590609005728323 -0.45906090057270593 -0.16604585818640763 -0.16604836456328645 -0.16604585818641254 -0.16604836456329294 0.7842227336587052 -0.7841875448065367 0.7842227336583963 -0.7841875448062499 0.1643722638231038 0.8356220292012082 0.16437226382314757 0.8356220292011645 0.16441451320519263 0.8355859301302182 0.1644145132052065 0.835585930130197
1.4000000000000001 0.7146349821510761 0.7146349821513188 -0.009692442767301749 0.9355317937625108 0.9355052887568385 0.9355317937632787 0.9355052887575682 0.5128921297206304 0.5128921297207654 -0.5128816528000242 -0.512881652800196 -0.15827442595791105 -0.1582766706589816 -0.15827442595789332 -0.15827667065896403 0.8943810151933871 -0.8943369265406999 0.8943810151945918 -0.894336926541887 0.142679655436618 0.8573146375876941 0.14267965543649663 0.8573146375878155 0.1427283206144821 0.8572708570244183 0.14272832061449797 0.8572708570244094
1.5 0.7520795694981844 0.7520795694982998 -0.01069687048838161 0.9379282223151371 0.9379037778283776 0.9379282223152755 0.9379037778285828 0.5688936446771634 0.5688936446775174 -0.5688652246211205 -0.5688652246213506 -0.1505387995711927 -0.1505407642725714 -0.15053879957118496 -0.15054076427255522 1.009724184341379 -1.0096689731176252 1.0097241843419595 -1.0096689731181858 0.12395736176306382 0.8760369312612483 0.12395736176300615 0.876036931261306 0.12400351868812837 0.8759946173083866 0.12400351868808823 0.875994617308416
1.6 0.7840750566445186 0.7840750566454785 -0.011667056355335203 0.9409649972590773 0.9409427189412489 0.9409649972627954 0.9409427189450286 0.6267496299677886 0.6267496299691673 -0.6267006801357141 -0.6267006801370215 -0.14300508148983374 -0.14300677621238359 -0.14300508148973062 -0.14300677621227936 1.1294139224678075 -1.1293450216149976 1.1294139224750204 -1.1293450216222383 0.10795961818989672 0.8920346748344153 0.10795961818941677 0.8920346748348953 0.10800950830040851 0.8919878056201622 0.10800950830039935 0.8919878056201633
1.7000000000000002 0.8112156821305838 0.8112156821310673 -0.012614414319538345 0.9443288651500124 0.9443087216333571 0.9443288651525387 0.9443087216360497 0.6861061551522818 0.6861061551528953 -0.6860339730858257 -0.686033973086238 -0.13579848968339386 -0.13579993989758887 -0.13579848968333752 -0.13579993989752934 1.2523670122663282 -1.2522815847613302 1.2523670122711024 -1.252281584766187 0.0943893054468641 0.9056049875774479 0.09438930544662241 0.9056049875776897 0.09443904191124852 0.9055576337378842 0.09443904191128416 0.9055576337378302
1.8 0.8341497334782605 0.8341497334768785 -0.013516116478234858 0.9478422232475839 0.9478240292705259 0.9478422232393937 0.947824029262316 0.7465296772666355 0.746529677264386 -0.746431539295246 -0.7464315392930208 -0.1289983416700108 -0.12899958128918368 -0.1289983416702026 -0.12899958128937536 1.3775956063139347 -1.3774905421029116 1.377595606297306 -1.37749054208627 0.08292227977302576 0.9170720132512863 0.08292227977371683 0.9170720132505953 0.08297233434650014 0.9170238561005379 0.08297233434641771 0.9170238561006223
1.9000000000000001 0.8535241280531659 0.8535241280513971 -0.014383576782805444 0.9513548536821977 0.9513383913596661 0.9513548536691375 0.9513383913466298 0.8077090101584866 0.8077090101559236 -0.8075819775714322 -0.8075819775687534 -0.12264165729603521 -0.12264271964983499 -0.12264165729631091 -0.1226427196501033 1.504316468047846 -1.504188413417534 1.5043164680210526 -1.5041884133906738 0.07323508248557307 0.926759210538739 0.07323508248645753 0.9267592105378546 0.07328530729374744 0.9267105146460706 0.07328530729355298 0.9267105146462629
